,Distribution South,Distribution North,The Warehouse Atrium,The Warehouse Newmarket,The Warehouse Royal Oak,The Warehouse St Lukes,The Warehouse Mt Roskill,The Warehouse Lunn Avenue,The Warehouse Sylvia Park,The Warehouse New Lynn,The Warehouse Glenfield Mall,The Warehouse WestCity,The Warehouse Westgate,The Warehouse Lincoln Road,The Warehouse Milford,The Warehouse Albany,The Warehouse Pakuranga,The Warehouse Botany Downs,The Warehouse Manukau,The Warehouse Airport,The Warehouse Clendon,The Warehouse Takanini,Noel Leeming Penrose Clearance,Noel Leeming Lunn Avenue,Noel Leeming Sylvia Park,Noel Leeming Newmarket,Noel Leeming Royal Oak,Noel Leeming Botany,Noel Leeming Queen Street,Noel Leeming St Lukes Westfield,Noel Leeming St Lukes Mega,Noel Leeming New Lynn,Noel Leeming Glenfield Clearance,Noel Leeming Wairau Park,Noel Leeming Henderson,Noel Leeming Albany,Noel Leeming Massey,Noel Leeming Ormiston,Noel Leeming Papatoetoe,Noel Leeming Manukau Supa Centre,Noel Leeming Manukau Westfield,Noel Leeming Papakura
The Warehouse Clendon,365.36,2719.08,2301.42,2203.44,1522.86,1993.06,1628.52,1957.41,1604.31,2182.96,3192.28,2688.9,2631.88,2627.81,3145.25,3366.62,1946.41,1808.2,840.93,1308.77,0,977.74,1816.99,1964.4,1595.67,2024.24,1544.4,1793.85,2275.88,2012.57,2025.77,2142.16,2898.7,2898.7,2645.01,3335.59,2599.49,1334.31,1020.91,831.69,804.36,1228.39
The Warehouse Takanini,1353.54,2736.15,2318.5,2220.51,2011.52,2555.29,2117.17,1974.49,1621.38,2671.61,3209.36,3295.18,3238.15,3234.09,3162.33,3383.7,1963.48,1709.82,1055.47,1797.42,998.51,0,1834.06,1981.48,1612.74,2041.31,2033.06,1719.72,2292.96,2552.27,2588,2630.81,2915.77,2915.77,3251.28,3352.66,3205.76,1272.8,1246.45,1089.59,994.12,351.42
Noel Leeming Penrose Clearance,1478.17,1404.81,987.15,889.17,613.76,1223.94,1495.8,440.17,356.54,1668.97,1878.01,1963.83,1906.81,1902.74,1830.98,2052.35,625.63,1201.09,1044.82,1346.23,1694.37,1566.03,0,447.16,347.9,709.97,592.22,1192.42,961.61,1220.92,1256.65,1700.96,1584.42,1584.42,1919.94,2021.31,1874.42,1456.47,900.62,1117.16,1064.64,1804.94
Noel Leeming Lunn Avenue,1831.88,1495.1,1077.44,876.79,920.64,1314.23,1586.09,6.99,591.68,1759.26,1968.3,2054.12,1997.1,1993.03,1921.27,2142.64,704.33,1288.07,1398.53,1772.64,2048.08,1919.74,457.61,0,583.05,800.26,899.1,1279.39,1051.9,1311.21,1346.94,1791.26,1674.71,1674.71,2010.23,2111.61,1964.71,1810.18,1254.33,1470.87,1418.36,2158.65
Noel Leeming Sylvia Park,1302.49,1480.86,1063.2,965.22,1098.48,1299.99,1571.85,570.81,8.64,1745.02,1954.06,2039.88,1982.86,1978.79,1907.03,2128.4,675.91,1262.95,869.15,1746.38,1518.69,1390.35,348.76,577.8,0,786.02,952.55,1377.32,1037.66,1296.97,1332.7,1777.02,1660.47,1660.47,1995.99,2097.36,1950.47,1280.79,724.95,941.48,888.97,1629.26
Noel Leeming Newmarket,1761.53,991.86,574.21,163.23,617.42,811,1082.86,751.82,771.84,1256.02,1465.07,1550.89,1493.86,1489.8,1418.04,1639.41,971.93,1547.4,1328.18,1516.82,1977.72,1849.38,650.14,744.84,763.2,0,612.77,1538.72,548.67,807.98,843.71,1288.02,1171.48,1171.48,1507,1608.37,1461.48,1739.83,1183.98,1400.51,1348,2088.29
Noel Leeming Royal Oak,1326.69,1400.69,983.04,720.33,21.54,706.79,573.33,913.43,953.46,1127.77,1873.9,1633.72,1576.69,1572.63,1826.87,2048.24,1161.11,1736.58,1221.84,993.38,1542.89,1854.22,596.92,906.46,944.82,616.78,0,1727.9,957.5,726.31,739.5,1086.97,1580.31,1580.31,1589.83,2017.2,1544.31,1958.29,1286.83,1248.27,1216.7,2093.13
Noel Leeming Botany,1489.53,2250.94,1833.29,1735.3,1666.1,2070.08,2253.17,1251.69,1148.32,2515.1,2724.15,2809.97,2752.94,2748.88,2677.12,2898.49,625.93,48.57,987.33,1933.42,1705.73,1611.05,1153.7,1258.68,1199.68,1556.1,1644.56,0,1807.74,2067.06,2102.79,2547.1,2430.56,2430.56,2766.07,2867.45,2720.55,683.23,1072.36,1059.67,1022.73,1849.97
Noel Leeming Queen Street,2082.94,821.73,113.72,579.59,979.44,799.88,1071.74,1073.23,1093.26,1244.9,1294.94,1539.77,1482.74,1478.68,1247.91,1469.28,1293.35,1868.81,1649.59,1935.07,2299.14,2170.8,971.55,1066.26,1084.62,499.54,974.79,1860.14,0,796.86,832.59,1276.9,1001.35,1001.35,1495.88,1438.24,1450.36,2061.24,1505.39,1721.93,1669.42,2409.71
Noel Leeming St Lukes Westfield,1801.95,1299.65,810.34,782.35,711.8,90.1,424.82,1450.26,1470.28,925.6,1772.86,1348.87,1291.84,1287.78,1725.83,1947.2,1670.38,2245.84,1697.1,1468.65,2018.15,2329.48,1348.58,1443.29,1461.65,726.02,707.15,2237.17,911.82,0,122.81,884.8,1479.27,1479.27,1304.98,1916.16,1259.46,2438.27,1882.42,1723.53,1691.96,2568.39
